514,6.45346E+17,Soft cheese brands recalled after serious listeria poisoning cases identified http://huff.to/1V0pneA,2015/9/20 5:15,3,76,41,1,HuffPost,https://twitter.com/HuffPost,1,120,36.3,"{soft: {value: -0.04605263157894737, freq: 1}, brand: {value: 0.08333333333333333, freq: 1}, recall: {value: 0.09999999999999998, freq: 1}, serious: {value: -0.08333333333333334, freq: 1}, listeria: {value: -0.2, freq: 1}, poison: {value: -0.325, freq: 1}, case: {value: 0.0125, freq: 1}}"
brand,soft,listeria,recall,death,outbreak,nooooooo,food,risk,several,0,,,
0.083333333,-0.046052632,-0.2,0.1,-0.140625,-0.125,-0.2,-0.041666667,-0.15625,-0.041666667,-0.767927632,,,
,,,,,,,,,,0,,,
listeria,recall,death,outbreak,soft,poison,brand,sold,sicken,sad,0,,,
-0.2,0.1,-0.140625,-0.125,-0.046052632,-0.325,0.083333333,-0.015625,-0.1875,-0.625,-1.481469298,,,
,,,,,,,,,,0,,,
listeria,recall,soft,risk,death,outbreak,poison,eat,brand,food,0,,,
-0.2,0.1,-0.046052632,-0.15625,-0.140625,-0.125,-0.325,0.041666667,0.083333333,-0.041666667,-0.809594298,,,
,,,,,,,,,,0,,,
death,listeria,soft,outbreak,recall,alert,brand,issue,risk,poison,0,,,
-0.140625,-0.2,-0.046052632,-0.125,0.1,-0.041666667,0.083333333,0.011363636,-0.15625,-0.325,-0.839897329,,,
,,,,,,,,,,0,,,
listeria,death,news,poison,recall,soft,outbreak,international,sold,nooooooo,0,,,
-0.2,-0.140625,0.1,-0.325,0.1,-0.046052632,-0.125,-0.3125,-0.015625,-0.2,-1.164802632,,,
,,,,,,,,,,0,,,
listeria,soft,death,recall,outbreak,poison,brand,risk,case,generally,0,,,
-0.2,-0.046052632,-0.140625,0.1,-0.125,-0.325,0.083333333,-0.15625,0.0125,-0.25,-1.047094298,,,
,,,,,,,,,,0,,,
listeria,soft,death,recall,poison,state,brand,outbreak,sold,lead,0,,,
-0.2,-0.046052632,-0.140625,0.1,-0.325,0,0.083333333,-0.125,-0.015625,0.0625,-0.606469298,,,
,,,,,,,,,,0,,,
recall,listeria,death,outbreak,soft,brand,associate,risk,state,possible,0,,,
0.1,-0.2,-0.140625,-0.125,-0.046052632,0.083333333,-0.375,-0.15625,0,0.125,-0.734594298,,,
,,,,,,,,,,0,,,
listeria,recall,soft,brand,pregnant,risk,death,sad,poison,sicken,0,,,
-0.2,0.1,-0.046052632,0.083333333,-0.125,-0.15625,-0.140625,-0.625,-0.325,-0.1875,-1.622094298,,,
,,,,,,,,,,0,,,
listeria,recall,soft,whole,brand,death,international,outbreak,flight,pill,0,,,
-0.2,0.1,-0.046052632,0.15,0.083333333,-0.140625,-0.3125,-0.125,0.027777778,-0.2,-0.66306652,,,
,,,,,,,,,,0,,,
soft,listeria,recall,pregnant,death,brand,news,case,poison,outbreak,0,,,
-0.046052632,-0.2,0.1,-0.125,-0.140625,0.083333333,0.1,0.0125,-0.325,-0.125,-0.665844298,,,
,,,,,,,,,,0,,,
listeria,soft,recall,brand,death,risk,sicken,possible,news,under,0,,,
-0.2,-0.046052632,0.1,0.083333333,-0.140625,-0.15625,-0.1875,0.125,0.1,-0.05,-0.372094298,,,
,,,,,,,,,,0,,,
listeria,soft,death,recall,sicken,outbreak,state,brand,flight,poison,0,,,
-0.2,-0.046052632,-0.140625,0.1,-0.1875,-0.125,0,0.083333333,0.027777778,-0.325,-0.81306652,,,
,,,,,,,,,,0,,,
listeria,recall,soft,death,risk,brand,outbreak,sold,sicken,sad,0,,,
-0.2,0.1,-0.046052632,-0.140625,-0.15625,0.083333333,-0.125,-0.015625,-0.1875,-0.625,-1.312719298,,,
,,,,,,,,,,0,,,
listeria,soft,recall,state,brand,death,outbreak,sicken,flight,latest,0,,,
-0.2,-0.046052632,0.1,0,0.083333333,-0.140625,-0.125,-0.1875,0.027777778,-0.013888889,-0.501955409,,,
,,,,,,,,,,0,,,
listeria,recall,state,soft,death,outbreak,brand,presence,risk,news,0,,,
-0.2,0.1,0,-0.046052632,-0.140625,-0.125,0.083333333,0.083333333,-0.15625,0.1,-0.301260965,,,
,,,,,,,,,,0,,,
listeria,soft,death,several,brand,recall,food,associate,outbreak,news,0,,,
-0.2,-0.046052632,-0.140625,-0.041666667,0.083333333,0.1,-0.041666667,-0.375,-0.125,0.1,-0.686677632,,,
,,,,,,,,,,0,,,
listeria,recall,soft,outbreak,death,brand,risk,food,sold,pet,0,,,
-0.2,0.1,-0.046052632,-0.125,-0.140625,0.083333333,-0.15625,-0.041666667,-0.015625,-0.03125,-0.573135965,,,
,,,,,,,,,,0,,,
listeria,recall,soft,brand,death,blame,outbreak,several,poison,nooooooo,0,,,
-0.2,0.1,-0.046052632,0.083333333,-0.140625,-0.208333333,-0.125,-0.041666667,-0.325,-0.2,-1.103344298,,,
,,,,,,,,,,0,,,
listeria,soft,recall,poison,brand,death,risk,state,outbreak,sicken,0,,,
-0.2,-0.046052632,0.1,-0.325,0.083333333,-0.140625,-0.15625,0,-0.125,-0.1875,-0.997094298,,,
,,,,,,,,,,0,,,
recall,listeria,soft,death,brand,outbreak,several,poison,risk,state,0,,,
0.1,-0.2,-0.046052632,-0.140625,0.083333333,-0.125,-0.041666667,-0.325,-0.15625,0,-0.851260965,,,
,,,,,,,,,,0,,,
listeria,soft,recall,associate,death,brand,poison,risk,eat,kill,0,,,
-0.2,-0.046052632,0.1,-0.375,-0.140625,0.083333333,-0.325,-0.15625,0.041666667,0,-1.017927632,,,
,,,,,,,,,,0,,,
listeria,risk,soft,death,recall,brand,poison,possible,sold,flight,0,,,
-0.2,-0.15625,-0.046052632,-0.140625,0.1,0.083333333,-0.325,0.125,-0.015625,0.027777778,-0.54744152,,,
,,,,,,,,,,0,,,
recall,listeria,soft,poison,death,associate,outbreak,brand,several,food,0,,,
0.1,-0.2,-0.046052632,-0.325,-0.140625,-0.375,-0.125,0.083333333,-0.041666667,-0.041666667,-1.111677632,,,
,,,,,,,,,,0,,,
listeria,recall,soft,death,outbreak,brand,get,state,poison,possible,0,,,
-0.2,0.1,-0.046052632,-0.140625,-0.125,0.083333333,0.010416667,0,-0.325,0.125,-0.517927632,,,
,,,,,,,,,,0,,,
listeria,recall,soft,death,outbreak,brand,state,poison,risk,food,0,,,
-0.2,0.1,-0.046052632,-0.140625,-0.125,0.083333333,0,-0.325,-0.15625,-0.041666667,-0.851260965,,,
,,,,,,,,,,0,,,
soft,listeria,recall,outbreak,poison,death,brand,check,several,state,0,,,
-0.046052632,-0.2,0.1,-0.125,-0.325,-0.140625,0.083333333,0.015,-0.041666667,0,-0.680010965,,,
,,,,,,,,,,0,,,
soft,listeria,recall,risk,death,affect,alert,several,outbreak,brand,0,,,
-0.046052632,-0.2,0.1,-0.15625,-0.140625,-0.025,-0.041666667,-0.041666667,-0.125,0.083333333,-0.592927632,,,
,,,,,,,,,,0,,,
listeria,soft,recall,death,sold,outbreak,state,poison,brand,food,0,,,
-0.2,-0.046052632,0.1,-0.140625,-0.015625,-0.125,0,-0.325,0.083333333,-0.041666667,-0.710635965,,,
,,,,,,,,,,0,,,
listeria,recall,soft,pregnant,lead,death,brand,risk,outbreak,possible,0,,,
-0.2,0.1,-0.046052632,-0.125,0.0625,-0.140625,0.083333333,-0.15625,-0.125,0.125,-0.422094298,,,
,,,,,,,,,,0,,,
listeria,soft,recall,news,brand,poison,sicken,state,death,outbreak,0,,,
-0.2,-0.046052632,0.1,0.1,0.083333333,-0.325,-0.1875,0,-0.140625,-0.125,-0.740844298,,,
,,,,,,,,,,0,,,
soft,listeria,brand,recall,nooooooo,death,poison,associate,sicken,risk,0,,,
-0.046052632,-0.2,0.083333333,0.1,-0.2,-0.140625,-0.325,-0.375,-0.1875,-0.15625,-1.447094298,,,
,,,,,,,,,,0,,,
listeria,risk,soft,death,recall,outbreak,eat,brand,several,food,0,,,
-0.2,-0.15625,-0.046052632,-0.140625,0.1,-0.125,0.041666667,0.083333333,-0.041666667,-0.041666667,-0.526260965,,,
,,,,,,,,,,0,,,
recall,listeria,death,soft,poison,associate,brand,news,outbreak,several,0,,,
0.1,-0.2,-0.140625,-0.046052632,-0.325,-0.375,0.083333333,0.1,-0.125,-0.041666667,-0.970010965,,,
,,,,,,,,,,0,,,
listeria,brand,death,outbreak,recall,check,sold,soft,news,risk,0,,,
-0.2,0.083333333,-0.140625,-0.125,0.1,0.015,-0.015625,-0.046052632,0.1,-0.15625,-0.385219298,,,
,,,,,,,,,,0,,,
soft,listeria,recall,death,outbreak,possible,brand,rather,poison,press,0,,,
-0.046052632,-0.2,0.1,-0.140625,-0.125,0.125,0.083333333,-0.125,-0.325,-0.041666667,-0.695010965,,,
,,,,,,,,,,0,,,
listeria,soft,recall,poison,death,brand,food,safety,outbreak,eat,0,,,
-0.2,-0.046052632,0.1,-0.325,-0.140625,0.083333333,-0.041666667,0.020833333,-0.125,0.041666667,-0.632510965,,,
,,,,,,,,,,0,,,
listeria,soft,outbreak,recall,news,brand,poison,latest,risk,death,0,,,
-0.2,-0.046052632,-0.125,0.1,0.1,0.083333333,-0.325,-0.013888889,-0.15625,-0.140625,-0.723483187,,,
,,,,,,,,,,0,,,
soft,listeria,food,recall,outbreak,risk,poison,death,state,sicken,0,,,
-0.046052632,-0.2,-0.041666667,0.1,-0.125,-0.15625,-0.325,-0.140625,0,-0.1875,-1.122094298,,,
,,,,,,,,,,0,,,
listeria,soft,recall,brand,death,outbreak,food,latest,news,poison,0,,,
-0.2,-0.046052632,0.1,0.083333333,-0.140625,-0.125,-0.041666667,-0.013888889,0.1,-0.325,-0.608899854,,,
,,,,,,,,,,0,,,
listeria,recall,soft,death,food,infection,international,brand,poison,outbreak,0,,,
-0.2,0.1,-0.046052632,-0.140625,-0.041666667,0.142857143,-0.3125,0.083333333,-0.325,-0.125,-0.864653822,,,
,,,,,,,,,,0,,,
soft,listeria,death,recall,brand,associate,sicken,outbreak,poison,food,0,,,
-0.046052632,-0.2,-0.140625,0.1,0.083333333,-0.375,-0.1875,-0.125,-0.325,-0.041666667,-1.257510965,,,
,,,,,,,,,,0,,,
soft,listeria,death,brand,outbreak,flight,recall,pregnant,sicken,risk,0,,,
-0.046052632,-0.2,-0.140625,0.083333333,-0.125,0.027777778,0.1,-0.125,-0.1875,-0.15625,-0.76931652,,,
,,,,,,,,,,0,,,
poison,soft,listeria,recall,brand,pregnant,death,risk,outbreak,latest,0,,,
-0.325,-0.046052632,-0.2,0.1,0.083333333,-0.125,-0.140625,-0.15625,-0.125,-0.013888889,-0.948483187,,,
,,,,,,,,,,0,,,
death,listeria,recall,soft,poison,outbreak,contain,brand,international,check,0,,,
-0.140625,-0.2,0.1,-0.046052632,-0.325,-0.125,0.125,0.083333333,-0.3125,0.015,-0.825844298,,,
,,,,,,,,,,0,,,
soft,listeria,death,recall,brand,poison,news,outbreak,state,risk,0,,,
